央视频道,#genre#
CCTV-1,http://116.117.104.234:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-1,http://116.117.106.67:8096/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://101.66.194.144:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1-综合,http://182.114.50.25:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://101.66.198.184:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV1-综合,http://101.74.28.74:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV1-综合,http://125.43.247.242:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://116.117.104.234:8096/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://116.117.106.67:8096/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://101.66.194.144:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://182.114.50.25:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://101.66.198.184:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV2-财经,http://101.74.28.74:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV2-财经,http://125.43.247.242:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://116.117.106.67:8096/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://101.66.194.144:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://182.114.50.25:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://101.66.198.184:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV3-综艺,http://101.74.28.74:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV3-综艺,http://125.43.247.242:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://116.117.104.234:8096/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://116.117.106.67:8096/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://101.66.194.144:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV4-国际,http://182.114.50.25:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://101.74.28.74:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV4-国际,http://125.43.247.242:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://116.117.104.234:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://116.117.106.67:8096/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://101.66.194.144:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5-体育,http://182.114.50.25:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://101.66.198.184:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV5-体育,http://101.74.28.74:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5-体育,http://125.43.247.242:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://101.66.194.144:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6-电影,http://116.117.104.234:8096/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://101.66.198.184:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV6-电影,http://125.43.247.242:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV6-电影,http://116.117.106.67:8096/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://116.117.106.67:8096/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://101.66.194.144:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7-军农,http://182.114.50.25:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://101.66.198.184:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV7-军农,http://101.74.28.74:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV7-军农,http://125.43.247.242:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-8,http://116.117.106.67:8096/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://101.66.194.144:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV8-电视剧,http://182.114.50.25:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV8-电视剧,http://101.66.198.184:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9-纪录,http://116.117.104.234:8096/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV9-纪录,http://101.66.194.144:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9-纪录,http://101.66.198.184:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=0&authid=0
CCTV9-纪录,http://101.74.28.74:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
